From	To
Q96EY8	MMAB
Q9Y4U1	MMACHC
Q495T6	MMEL1
Q9BQ31	KCNS3
Q9UGI6	KCNN3
Q14681	KCTD2
Q8WVF5	KCTD4
Q9NYG8	KCNK4
Q9NSA2	KCND1
Q701N4	KRTAP5-2
Q6L8H2	KRTAP5-3
Q6L8H1	KRTAP5-4
Q9BYP9	KRTAP9-9
Q8NCW0	KREMEN2
Q14533	KRT81
Q9NSB4	KRT82
Q9NSB2	KRT84
P78386	KRT85
O43790	KRT86
O75676	RPS6KA4
Q9UK32	RPS6KA6
P23443	RPS6KB1
P43405	SYK
Q8N1A0	KRT222
O76009	KRT33A
Q9H079	KATNBL1
Q86YT6	MIB1
Q9BRQ6	CHCHD6
Q9BUR5	APOO
Q7RTP6	MICAL3
Q29980	MICB
Q6ZW33	MICALCL
Q8IYU8	MICU2
Q96C03	MIEF2
L0R8F8	MIEF1
Q8TC71	SPATA18
Q8N344	MIER2
Q7Z3K6	MIER3
P14174	MIF
Q8N3F8	MICALL1
Q9BVA0	KATNB1
P01602	IGKV1-5
A0A0C4DH72	IGKV1-6
A0A0C4DH69	IGKV1-9
A0A0C4DH73	IGKV1-12
P01594	IGKV1-33
P01597	IGKV1-39
A0A075B6P5	IGKV2-28
A2NJV5	IGKV2-29
P06310	IGKV2-30
A0A087WW87	IGKV2-40
P04433	IGKV3-11
P06312	IGKV4-1
P01593	IGKV1D-33
P01614	IGKV2D-40
Q14165	MLEC
P58340	MLF1
Q15773	MLF2
Q9BQD3	KXD1
P40692	MLH1
Q9UHC1	MLH3
Q5VWP3	MLIP
Q96A32	MYLPF
P10916	MYL2
Q6P1M3	LLGL2
Q8NBH2	KY
Q9UNZ5	C19orf53
P32004	L1CAM
P18627	LAG3
Q96T76	MMS19
Q6ISS4	LAIR2
Q6ZRQ5	MMS22L
P00709	LALBA
Q02252	ALDH6A1
P24043	LAMA2
Q16363	LAMA4
Q13751	LAMB3
P42167	TMPO
Q9NS86	LANCL2
Q71RC2	LARP4
Q9BRS8	LARP6
Q4G0J3	LARP7
O95461	LARGE1
Q569H4	PRR16
Q9NRM7	LATS2
Q9GIP4	SLC7A5P2
Q8MH63	SLC7A5P1
Q01650	SLC7A5
Q9UHI5	SLC7A8
Q9BQE6	LBHD1
A0A0U1RRK4	LBHD2
Q96L11	LLCFC1
Q5TA79	LCE2A
P05107	ITGB2
P53990	IST1
P08648	ITGA5
P26012	ITGB8
O14713	ITGB1BP1
P53708	ITGA8
Q86VZ6	JAZF1
Q9P266	JCAD
Q9P055	JKAMP
Q9UQF2	MAPK8IP1
Q9HDC5	JPH1
P52333	JAK3
O76095	JTB
Q96L42	KCNH8
Q9Y597	KCTD3
Q7L273	KCTD9
P56696	KCNQ4
Q9H478	KCNQ1DN
Q96EK9	KTI12
Q86UP2	KTN1
Q8NBR6	MINDY2
Q9H8M7	MINDY3
Q4G0A6	MINDY4
Q8TD10	MIPOL1
Q8TDR0	TRAF3IP1
P30301	MIP
A0A0C4DH67	IGKV1-8
P0DP09	IGKV1-13
P04430	IGKV1-16
P01599	IGKV1-17
A0A075B6S5	IGKV1-27
A0A0C4DH68	IGKV2-24
P01624	IGKV3-15
P01619	IGKV3-20
P06315	IGKV5-2
Q15049	MLC1
A0A0C4DH55	IGKV3D-7
A0A087WSZ0	IGKV1D-8
A0A0A0MRZ8	IGKV3D-11
P01611	IGKV1D-12
A0A0B4J2D9	IGKV1D-13
A0A087WSY6	IGKV3D-15
P01601	IGKV1D-16
A0A075B6S4	IGKV1D-17
A0A0C4DH25	IGKV3D-20
A0A0A0MT36	IGKV6D-21
A0A0A0MRZ7	IGKV2D-26
P01615	IGKV2D-28
A0A075B6S2	IGKV2D-29
A0A075B6S6	IGKV2D-30
P04432	IGKV1D-39
A0A0B4J1Z2	IGKV1D-43
Q9BXW4	MAP1LC3C
A6NMS7	LRRC37A
A6NM11	LRRC37A2
O60309	LRRC37A3
Q6ZP29	PQLC2
Q9HAP2	MLXIP
Q8IVH4	MMAA
Q9H3L0	MMADHC
Q53H82	LACTB2
P09238	MMP10
Q8IV20	LACC1
Q9ULZ9	MMP17
Q99542	MMP19
P03956	MMP1
Q8N119	MMP21
Q9Y5R2	MMP24
Q9NPA2	MMP25
Q9NRE1	MMP26
Q9H239	MMP28
P08253	MMP2
P08254	MMP3
P09237	MMP7
P22894	MMP8
P14780	MMP9
O00515	LAD1
A0A0U1RRL7	MMP24OS
Q13201	MMRN1
Q9H8L6	MMRN2
P25391	LAMA1
Q16787	LAMA3
P07942	LAMB1
P11279	LAMP1
Q9UJQ1	LAMP5
P42166	TMPO
O43813	LANCL1
Q6PKG0	LARP1
Q659C4	LARP1B
Q92615	LARP4B
Q8N370	SLC43A2
Q8IYD9	LAS2
Q86YQ2	BPIFA4P
Q53QV2	LBH
Q5T7P2	LCE1A
Q14739	LBR
P52954	LBX1
Q5VSP4	LCN1P1
Q71F78	LCA10
P31025	LCN1
Q6ZST4	LCNL1
Q5T5B0	LCE3E
Q5TA78	LCE4A
Q5TCM9	LCE5A
Q969E1	LEAP2
Q9Y6J6	KCNE2
Q96T55	KCNK16
P48050	KCNJ4
Q9UJ90	KCNE5
Q5JUK3	KCNT1
Q8NC69	KCTD6
O95069	KCNK2
O14649	KCNK3
Q03721	KCNC4
P12277	CKB
O94953	KDM4B
Q6B0I6	KDM4D
Q4VXA5	KHDC1
Q99706	KIR2DL4
Q14954	KIR2DS1
Q9NQT8	KIF13B
O95235	KIF20A
O75037	KIF21B
Q2KJY2	KIF26B
P43628	KIR2DL3
Q96FN5	KIF12
A9UHW6	MIF4GD
Q14807	KIF22
Q9UIL4	KIF25
Q86VH2	KIF27
Q6ZMV9	KIF6
Q2M1P5	KIF7
Q9HAQ2	KIF9
Q99661	KIF2C
Q6UWL6	KIRREL2
Q15726	KISS1
Q969F8	KISS1R
P04183	TK1
Q5H943	CT83
Q2M2Z5	KIZ
A0A0A0MT89	IGKJ1
Q07866	KLC1
Q6P597	KLC3
Q5VTJ3	KLHDC7A
Q13118	KLF10
Q8N7A1	KLHDC1
Q8NEP7	KLHDC9
Q9UIH9	KLF15
Q5JT82	KLF17
O94889	KLHL18
P57682	KLF3
Q9UJP4	KLHL21
Q2TBA0	KLHL40
O60662	KLHL41
O75840	KLF7
Q96CT2	KLHL29
O43240	KLK10
Q53G59	KLHL12
Q9UKR0	KLK12
Q9UKR3	KLK13
Q96PQ7	KLHL5
Q8WZ60	KLHL6
Q8IXQ5	KLHL7
Q12918	KLRB1
P03952	KLKB1
Q9NZS2	KLRF1
Q86Z14	KLB
Q5SVS4	SLC25A30
Q03164	KMT2A
Q9NQR1	KMT5A
Q4FZB7	KMT5B
P46020	PHKA1
Q93100	PHKB
Q05513	PRKCZ
Q9BZL6	PRKD2
O60256	PRPSAP2
Q5T749	KPRP
P05129	PRKCG
P41743	PRKCI
P11801	PSKH1
Q9BYP8	KRTAP17-1
Q8IUB9	KRTAP19-1
Q3LHN2	KRTAP19-2
Q3LI72	KRTAP19-5
Q3LI70	KRTAP19-6
Q3LI54	KRTAP19-8
Q3LI63	KRTAP20-1
Q3LI61	KRTAP20-2
Q3LI60	KRTAP20-3
Q3LI62	KRTAP20-4
Q3LI58	KRTAP21-1
Q3LI59	KRTAP21-2
Q3LI68	KRTAP22-2
A1A580	KRTAP23-1
Q3LI83	KRTAP24-1
Q3LHN0	KRTAP25-1
Q6PEX3	KRTAP26-1
Q3LI81	KRTAP27-1
A8MX34	KRTAP29-1
P60371	KRTAP10-6
P60409	KRTAP10-7
Q8IUC1	KRTAP11-1
P59990	KRTAP12-1
P0C5Y4	KRTAP1-4
Q9BYS1	KRTAP1-5
Q9BYU5	KRTAP2-1
Q9BYT5	KRTAP2-2
P0C7H8	KRTAP2-3
Q9BYR9	KRTAP2-4
Q52LG2	KRTAP13-2
Q3SY46	KRTAP13-3
Q8IUC3	KRTAP7-1
Q8IUC2	KRTAP8-1
P48051	KCNJ6
Q9NXV2	KCTD5
Q92953	KCNB2
Q12809	KCNH2
O43526	KCNQ2
P12532	CKMT1A
P12532	CKMT1B
Q9UK17	KCND3
O15550	KDM6A
Q6ZMT4	KDM7A
Q8TCB7	METTL6
Q641Q3	METRNL
O60291	MGRN1
Q3V5L5	MGAT5B
Q8NHK3	KIR2DL5B
P43632	KIR2DS4
Q14953	KIR2DS5
Q8N743	KIR3DL3
Q8NI77	KIF18A
P46013	MKI67
Q9Y6Z4	KIF25-AS1
Q8N7Y1	KIRREL3-AS3
Q7Z4S6	KIF21A
Q8IX03	WWC1
Q9ULI4	KIF26A
O60333	KIF1B
O43896	KIF1C
O95239	KIF4A
Q12840	KIF5A
O60282	KIF5C
B7ZC32	KIF28P
Q92845	KIFAP3
O60870	KIN
Q9Y496	KIF3A
Q96J84	KIRREL1
Q9NRX6	TMEM167B
Q96RR4	CAMKK2
Q8IXV7	KLHDC8B
O14901	KLF11
Q9Y2U9	KLHDC2
Q9Y4X4	KLF12
Q8TBB5	KLHDC4
Q8TD94	KLF14
Q9P2N7	KLHL13
A0A0U1RQI7	KLF18
Q96M94	KLHL15
Q9H511	KLHL31
O43474	KLF4
Q53GT1	KLHL22
Q13887	KLF5
Q99612	KLF6
Q9NR64	KLHL1
Q9NVR0	KLHL11
Q9UH77	KLHL3
Q9H2R5	KLK15
P07288	KLK3
Q92876	KLK6
Q9UKQ9	KLK9
Q13241	KLRD1
D3W0D1	KLRF2
A4D1S0	KLRG2
P17481	HOXB8
A0A0C4DH32	IGHV3-20
P01767	IGHV3-53
A0A0C4DH42	IGHV3-66
P14651	HOXB3
P35557	GCK
P0DP04	IGHV3-43D
A0A0J9YX35	IGHV3-64D
A0A0G2JMI3	IGHV1-69-2
Q2M3T9	HYAL4
A0A075B6J9	IGLV2-18
P19367	HK1
Q08334	IL10RB
P42701	IL12RB1
Q14627	IL13RA2
Q96BM0	IFI27L1
Q13261	IL15RA
Q9UIS9	MBD1
Q9UBB5	MBD2
O95243	MBD4
Q9P267	MBD5
Q96DN6	MBD6
Q9BTE3	MCMBP
Q14974	KPNB1
Q8NEM0	MCPH1
P80217	IFI35
Q9P2X3	IMPACT
Q53TQ3	INO80D
P12268	IMPDH2
P05111	INHA
P17301	ITGA2
P05106	ITGB3
P56199	ITGA1
Q13683	ITGA7
Q96N16	JAKMIP1
Q15040	JOSD1
Q96MG2	JSRP1
P20702	ITGAX
Q6ZU35	KIAA1211
O60268	KIAA0513
Q9P206	KIAA1522
Q8IV33	KIAA0825
Q6ICG6	KIAA0930
P13646	KRT13
Q96AT1	KIAA1143
P02533	KRT14
Q9C075	KRT23
Q2M2I5	KRT24
Q7Z3Y8	KRT27
Q6A163	KRT39
Q6KB66	KRT80
P13647	KRT5
P22459	KCNA4
Q53RY4	KRTCAP3
Q9NPC2	KCNK9
Q9H427	KCNK15
P48549	KCNJ3
Q8NC54	KCT2
P48544	KCNJ5
Q6UVM3	KCNT2
Q9UJ96	KCNG2
Q15842	KCNJ8
P51787	KCNQ1
O00180	KCNK1
Q9UM21	MGAT4A
Q16774	GUK1
Q9UQ53	MGAT4B
Q9UBM8	MGAT4C
Q5JSQ8	KHDC1L
Q07666	KHDRBS1
Q5VWX1	KHDRBS2
P50053	KHK
O15037	KHNYN
Q9H1H9	KIF13A
Q96L93	KIF16B
Q9H1L0	MIR1-1HG
Q12756	KIF1A
P43626	KIR2DL1
P43627	KIR2DL2
O14782	KIF3C
Q15058	KIF14
Q9NS87	KIF15
Q2VIQ3	KIF4B
Q02241	KIF23
Q5T7B8	KIF24
Q8N4Q1	CHCHD4
Q9NQ35	NRIP3
Q9NWW6	NMRK1
Q9ULB1	NRXN1
P58400	NRXN1
Q9P2S2	NRXN2
O95478	NSA2
Q02818	NUCB1
P03915	MT-ND5
Q9Y6C5	PTCH2
Q13416	ORC2
Q14761	PTPRCAP
Q8WV60	PTCD2
O43929	ORC4
O43913	ORC5
Q9BXB5	OSBPL10
Q969R2	OSBP2
Q8WVF1	OSCP1
Q05209	PTPN12
Q9NPF4	OSGEP
Q9BZF3	OSBPL6
Q9H4B0	OSGEPL1
Q4JDL3	PTPN20
A0A2R8YFL7	OOSP4A
A0A2R8Y4Y8	OOSP4B
P39656	DDOST
P84351	BGLAP
P21246	PTN
Q86YD1	PTOV1
P61366	OSTN
Q8WUK0	PTPMT1
P00480	OTC
P23468	PTPRD
P23469	PTPRE
Q15262	PTPRK
Q16849	PTPRN
Q16827	PTPRO
Q3ZCN5	OTOGL
Q7RTS5	OTOP3
Q5VVQ6	YOD1
P32243	OTX2
Q8WZ82	OVCA2
Q7RTY7	OVCH1
Q96DC9	OTUB2
Q12889	OVGP1
O14753	OVOL1
Q9BRP0	OVOL2
Q6IE36	OVOS2
Q99489	DDO
Q5BKU9	OXLD1
Q9NWU1	OXSM
O95747	OXSR1
P26022	PTX3
Q96A99	PTX4
O15547	P2RX6
Q06190	PPP2R3A
Q9Y5P8	PPP2R3B
P51582	P2RY4
Q8TB72	PUM2
Q15397	PUM3
P0C869	PLA2G4B
Q3MJ16	PLA2G4E
P22102	GART
Q9NZ20	PLA2G3
P11940	PABPC1
Q86U42	PABPN1
O15067	PFAS
Q9BY11	PACSIN1
Q9UKS6	PACSIN3
P09466	PAEP
Q8NCC3	PLA2G15
O60829	PAGE4
Q96GU1	PAGE5
Q9BTK6	PAGR1
P05121	SERPINE1
P05120	SERPINB2
Q9BPZ3	PAIP2
Q8NC51	SERBP1
O75914	PAK3
Q9P286	PAK5
Q9NQU5	PAK6
Q6PCE3	PGM2L1
P21810	BGN
Q15124	PGM5
P00439	PAH
Q92696	RABGGTA
Q9UKJ0	PILRB
Q9H307	PNN
Q9BXM7	PINK1
A6NC86	PINLYP
Q99697	PITX2
Q7Z442	PKD1L2
Q9Y2H5	PLEKHA6
Q9UF11	PLEKHB1
Q8IWE5	PLEKHM2
Q494U1	PLEKHN1
Q96S99	PLEKHF1
P42336	PIK3CA
Q8TC59	PIWIL2
Q7Z3Z4	PIWIL4
P48736	PIK3CG
Q0ZLH3	PJVK
Q9ULU4	ZMYND8
P04808	RLN1
Q13393	PLD1
Q13563	PKD2
Q9P212	PLCE1
O75051	PLXNA2
Q8NA58	PNLDC1
Q15126	PMVK
P16298	PPP3CB
P48454	PPP3CC
Q8N443	RIBC1
Q9H4K1	RIBC2
Q8TF05	PPP4R1
Q4ADV7	RIC1
Q7Z5B4	RIC3
O75170	PPP6R2
Q5H9R7	PPP6R3
Q9NVN3	RIC8B
Q6R327	RICTOR
Q5UIP0	RIF1
P15309	ACPP
Q96NA2	RILP
Q9UFD9	RIMBP3
A6NNM3	RIMBP3B
A6NJZ7	RIMBP3C
O95153	TSPOAP1
O15034	RIMBP2
Q03181	PPARD
Q8IXN7	RIMKLA
P09923	ALPI
P10696	ALPG
P48147	PREP
Q8NEY8	PPHLN1
P45877	PPIC
P23284	PPIB
Q9Y3C6	PPIL1
Q8TCE9	LGALS14
P35813	PPM1A
O15355	PPM1G
Q9ULR3	PPM1H
Q9Y570	PPME1
O00743	PPP6C
Q5R3F8	ELFN2
Q13522	PPP1R1A
Q7Z5V6	PPP1R32
Q96LQ0	PPP1R36
Q16821	PPP1R3A
Q86XI6	PPP1R3B
Q9UQK1	PPP1R3C
O95685	PPP1R3D
Q9H7J1	PPP1R3E
Q6ZSY5	PPP1R3F
Q7Z4L9	PPP1R42
Q96BP3	PPWD1
Q9UMR5	PPT2
Q8N755	PQLC3
Q6ZRT6	PRR23B
Q8WXC3	PYDC1
Q08257	CRYZ
Q9NXS2	QPCTL
Q2TAL8	QRICH1
Q2KHR3	QSER1
Q5T6V5	C9orf64
P18077	RPL35A
A8MTL3	RNF212B
Q9Y3T6	R3HCC1
Q86UN3	RTN4RL2
Q59GN2	RPL39P5
Q09MP3	RAD51AP2
Q6ZS82	RGS9BP
P61106	RAB14
Q9UL25	RAB21
Q6IQ22	RAB12
P61019	RAB2A
P61927	RPL37
P20337	RAB3B
Q15286	RAB35
Q9BUV8	RAB5IF
P61006	RAB8A
P63173	RPL38
Q9H0U4	RAB1B
P62891	RPL39
Q9UJ41	RABGEF1
Q7Z6M1	RABEPK
P15153	RAC2
Q99638	RAD9A
Q8TD07	RAET1E
Q6NSI4	RADX
P55042	RRAD
P55895	RAG2
Q15109	AGER
P15918	RAG1
A6NC62	RBAKDN
O60895	RAMP2
P62826	RAN
P61224	RAP1B
P61225	RAP2B
Q13702	RAPSN
P62987	UBA52
P10276	RARA
P20936	RASA1
Q99460	PSMD1
Q14691	GINS1
Q16557	PSG3
Q00888	PSG4
P07988	SFTPB
O14684	PTGES
Q16647	PTGIS
Q14914	PTGR1
P0C881	RSPH10B
B2RC85	RSPH10B2
Q15032	R3HDM1
Q9ULC3	RAB23
P57735	RAB25
Q9BZG1	RAB34
Q5JT25	RAB41
A4D1S5	RAB19
Q86YS6	RAB43
Q7Z6P3	RAB44
P51149	RAB7A
P20339	RAB5A
Q9NX57	RAB20
P29373	CRABP2
Q8TDU9	RXFP4
A8MQ11	PMS2P5
Q8NAT1	POMGNT2
Q92546	RGP1
Q6GYQ0	RALGAPA1
P0DJD1	RGPD2
Q99666	RGPD5
Q99666	RGPD6
Q13519	PNOC
Q13972	RASGRF1
Q9UL42	PNMA2
Q9NVS9	PNPO
Q8TCS8	PNPT1
P20264	POU3F3
P49335	POU3F4
Q8TEM1	NUP210
Q9UNA4	POLI
Q15165	PON2
Q6PEZ8	PODNL1
Q8TEB9	RHBDD1
P18577	RHCE
Q9H237	PORCN
Q6PJF5	RHBDF2
Q02161	RHD
Q96D21	RASD2
Q6ZWK4	RHEX
P0C7M4	RHOXF2B
O43182	ARHGAP6
A0JP26	POTEB3
Q5TG30	ARHGAP40
Q96C90	PPP1R14B
Q8TAE6	PPP1R14C
Q3KRB8	ARHGAP11B
Q96I34	PPP1R16A
Q96T49	PPP1R16B
P62140	PPP1CB
P36873	PPP1CC
Q15435	PPP1R7
P08134	RHOC
Q9HBH0	RHOF
P84095	RHOG
Q7L0Q8	RHOU
Q96L33	RHOV
P62714	PPP2CB
A8MPX8	PP2D1
P60510	PPP4C
Q86T03	PIP4P1
Q8N4L2	PIP4P2
Q9NY27	PPP4R2
Q6NUP7	PPP4R4
Q9P1A2	PPP4R1L
E7EU14	PPP5D1
Q9UPN7	PPP6R1
Q9NPQ8	RIC8A
P52758	RIDA
P13686	ACP5
Q9NPH0	ACP6
Q969G6	RFK
P24666	ACP1
Q13278	RIG
P11117	ACP2
Q07869	PPARA
P37231	PPARG
Q9ULI2	RIMKLB
P05186	ALPL
Q4J6C6	PREPL
Q9H3Y8	PPDPF
P10619	CTSA
P62937	PPIA
Q08752	PPID
P50876	RNF144A
O15541	RNF113A
Q8IZP6	RNF113B
Q9Y2K5	R3HDM2
Q96D70	R3HDM4
Q8TBN0	RAB3IL1
Q6MZT1	RGS7BP
O75771	RAD51D
Q32P51	HNRNPA1L2
Q9H0T7	RAB17
Q15771	RAB30
P20336	RAB3A
Q13637	RAB32
Q96E17	RAB3C
P51148	RAB5C
P20340	RAB6A
Q8N4Z0	RAB42
P62820	RAB1A
P20338	RAB4A
Q5HYI8	RABL3
P29762	CRABP1
O14966	RAB29
P63244	RACK1
Q9NSD7	RXFP3
P63000	RAC1
O75943	RAD17
Q8WWW0	RASSF5
Q9HCJ3	RAVER2
Q96IS3	RAX2
P62491	RAB11A
P01116	KRAS
Q15907	RAB11B
Q8NDT2	RBM15B
Q8NC74	RBBP8NL
Q9P1G2	RBM12B-AS1
O00194	RAB27B
Q15291	RBBP5
Q9H082	RAB33B
Q16576	RBBP7
Q15042	RAB3GAP1
Q8TDY2	RB1CC1
Q96S21	RAB40C
Q8IUD2	ERC1
Q8N0V3	RBFA
P46777	RPL5
Q00577	PURA
P11216	PYGB
Q8TE99	PXYLP1
P61018	RAB4B
P51151	RAB9A
Q9NP90	RAB9B
Q15276	RABEP1
Q92901	RPL3L
O60671	RAD1
Q06609	RAD51
P43351	RAD52
Q96JH8	RADIL
P78406	RAE1
P04049	RAF1
Q86SE5	RALYL
Q9P0K7	RAI14
Q8NFJ5	GPRC5A
Q5U651	RASIP1
Q96S59	RANBP9
Q86WH2	RASSF3
Q8IY67	RAVER1
Q6ZTQ3	RASSF6
O75901	RASSF9
A6NK89	RASSF10
P01112	HRAS
Q8IXT5	RBM12B
Q09028	RBBP4
Q7Z6E9	RBBP6
O75884	RBBP9
Q8WXH6	RAB40A
Q12829	RAB40B
P0C0E4	RAB40AL
Q08999	RBL2
P98179	RBM3
Q8TBY0	RBM46
Q15434	RBMS2
Q9NW64	RBM22
Q9UJV8	PURG
Q96N64	PWWP2A
I3L0S3	PYCARD-AS1
Q7Z7A4	PXK
Q8TBF2	PRXL2B
Q7RTV5	PRXL2C
Q9NR77	PXMP2
P10082	PYY
P20742	PZP
Q9UPQ7	PDZRN3
O14957	UQCR11
P22695	UQCRC2
P07919	UQCRH
O14949	UQCRQ
Q9UDW1	UQCR10
O95825	CRYZL1
Q53FA7	TP53I3
P49207	RPL34
Q16769	QPCT
Q96P65	QRFPR
Q9H0J4	QRICH2
O00391	QSOX1
Q6ZRP7	QSOX2
Q9H974	QTRT2
P42766	RPL35
Q15269	PWP2
Q96PZ0	PUS7
Q8NFP0	PXT1
P27708	CAD
Q9Y6I8	PXMP4
Q8WU10	PYROXD1
P35241	RDX
P24386	CHM
P26374	CHML
P11234	RALB
P46060	RANGAP1
Q9BTL3	RAMAC
Q9Y5P3	RAI2
O60894	RAMP1
P43487	RANBP1
O60896	RAMP3
P10114	RAP2A
Q9Y3L5	RAP2C
Q70E73	RAPH1
P62945	RPL41
P10826	RARB
P13631	RARG
Q99969	RARRES2
C9J798	RASA4B
O95294	RASAL1
Q8IZ41	RASEF
Q9NYN1	RASL12
Q9NS23	RASSF1
P01111	NRAS
Q9Y580	RBM7
Q96T37	RBM15
Q6XE24	RBMS3
Q9H1K0	RBSN
Q9P2N5	RBM27
P42696	RBM34
Q9H477	RBKS
Q9H4I0	RAD21L1
Q96I51	RCC1L
Q69383	ERVK-6
Q96NR3	PTCHD1
P41222	PTGDS
Q9BRP8	PYM1
Q9NRI6	PYY2
Q5JQD4	PYY3
Q6ZMN7	PDZRN4
Q04671	OCA2
P31930	UQCRC1
A0A096LP55	UQCRHL
Q96PU8	QKI
Q6NVV1	RPL13AP3
Q7Z419	RNF144B
Q6NUR6	RNF216P1
Q86UN2	RTN4RL1
Q96B01	RAD51AP1
O15315	RAD51B
P59190	RAB15
Q9HCM2	PLXNA4
O15031	PLXNB2
Q8WZA1	POMGNT1
Q99640	PKMYT1
Q9NRX1	PNO1
P49795	RGS19
Q12796	PNRC1
P14859	POU2F1
Q8TC44	POC1B
Q7Z5L7	PODN
Q9Y253	POLH
Q9HBU9	POPDC2
Q15382	RHEB
P98171	ARHGAP4
H3BUK9	POTEB2
A1A4S6	ARHGAP10
Q8IWW6	ARHGAP12
Q68EM7	ARHGAP17
Q6S8J7	POTEA
A0A0A6YYL3	POTEB
B2RU33	POTEC
Q86YR6	POTED
Q6S8J3	POTEE
Q9P2F6	ARHGAP20
Q5T5U3	ARHGAP21
Q9P227	ARHGAP23
Q8N264	ARHGAP24
P42331	ARHGAP25
Q9UNA1	ARHGAP26
Q6ZUM4	ARHGAP27
Q9P2N2	ARHGAP28
Q52LW3	ARHGAP29
Q7Z6I6	ARHGAP30
Q2M1Z3	ARHGAP31
A7KAX9	ARHGAP32
O14559	ARHGAP33
Q9UHV8	LGALS13
Q9C0H5	ARHGAP39
Q6PJE2	POMZP3
Q6P4F7	ARHGAP11A
Q9BZL4	PPP1R12C
P62136	PPP1CA
Q12972	PPP1R8
Q96QC0	PPP1R10
O60927	PPP1R11
A8MT19	RHPN2P1
Q9BSD3	RHNO1
P61586	RHOA
P62745	RHOB
O00212	RHOD
Q15669	RHOH
Q9H4E5	RHOJ
P17081	RHOQ
Q8TCX5	RHPN1
Q8IUC4	RHPN2
Q8NHV9	RHOXF1
Q9BQY4	RHOXF2
A6NNX1	RIIAD1
P67775	PPP2CA
Q08209	PPP3CA
P54277	PMS1
Q15493	RGN
Q8N490	PNKD
Q96T60	PNKP
Q86V59	PNMA8A
P47804	RGR
P20265	POU3F2
Q01851	POU4F1
P09086	POU2F2
Q01860	POU5F1
P63136	ERVK-25
Q8N7G0	POU5F2
Q02094	RHAG
Q5K4E3	PRSS36
Q8NE79	BVES
Q9Y3P4	RHBDD3
Q9Y6A1	POMT1
Q9UKY4	POMT2
O75783	RHBDL1
Q9NX52	RHBDL2
P27169	PON1
O94955	RHOBTB3
Q8N131	TMEM123
Q15063	POSTN
Q07960	ARHGAP1
Q13017	ARHGAP5
Q96QB1	DLC1
P85298	ARHGAP8
Q9BRR9	ARHGAP9
Q53QZ3	ARHGAP15
Q9NUX5	POT1
Q8N392	ARHGAP18
Q14CB8	ARHGAP19
A5A3E0	POTEF
Q6S5H5	POTEG
Q6S545	POTEH
P0CG38	POTEI
P0CG39	POTEJ
A6NI47	POTEM
Q7Z5H3	ARHGAP22
Q9NRY4	ARHGAP35
B7ZBB8	PPP1R3G
Q6ZRI8	ARHGAP36
A6NI28	ARHGAP42
Q96A00	PPP1R14A
Q17R89	ARHGAP44
Q9NXH3	PPP1R14D
P05187	ALPP
Q9BZG2	ACP4
O43447	PPIH
O95428	PAPLN
P53041	PPP5C
Q6ZMI0	PPP1R21
Q86WC6	PPP1R27
Q8WVI7	PPP1R1C
O75864	PPP1R37
Q5VV67	PPRC1
Q9NRI7	PPY2P
O60828	PQBP1
Q8N2U9	PQLC1
A6NEV1	PRR23A
Q5THK1	PRR14L
Q5SWA1	PPP1R15B
Q9BU68	PRR15L
O60809	PRAMEF10
Q5SWL7	PRAMEF14
Q9NQV5	PRDM11
Q9H4Q4	PRDM12
Q9GZV8	PRDM14
P86496	PRR20A
A3QJZ6	PRAMEF22
A6NGN4	PRAMEF25
Q96KF2	PRAC1
D3DTV9	PRAC2
Q9NRG1	PRTFDC1
Q9Y2Y8	PRG3
P30048	PRDX3
Q9UBK2	PPARGC1A
P15151	PVR
P62888	RPL30
P17812	CTPS1
Q9NRF8	CTPS2
Q9UL41	PNMA3
Q2PPJ7	RALGAPA2
Q8TF01	PNISR
O14827	RASGRF2
O43566	RGS14
Q9NS28	RGS18
P63132	HERVK_113
O00592	PODXL
P63128	ERVK-9
Q9WJR5	ERVK-19
P63133	ERVK-8
Q9BWJ2	RHPN1-AS1
Q9Y244	POMP
Q9H310	RHBG
Q9HBV1	POPDC3
P58872	RHBDL3
Q99575	POP1
Q9BYZ6	RHOBTB2
Q969H6	POP5
Q9UBD6	RHCG
Q96CC6	RHBDF1
Q9HAB8	PPCS
Q9UKL6	PCTP
O14829	PPEF1
O14830	PPEF2
P30405	PPIF
Q8WUA2	PPIL4
Q8IXY8	PPIL6
O43586	PSTPIP1
Q9H939	PSTPIP2
Q13356	PPIL2
Q96MI6	PPM1M
Q5JR12	PPM1J
Q5SGD2	PPM1L
O96001	PPP1R17
Q5T8A7	PPP1R26
P0DPQ3	PRR20G
Q9UI14	RABAC1
Q8NCQ7	PROCA1
Q5VTL8	PRPF38B
O60813	PRAMEF11
Q5VTA0	PRAMEF17
Q9NNZ6	PRM3
Q7Z3G6	PRICKLE2
P0DMW2	NLRP2B
Q02127	DHODH
P62899	RPL31
P62910	RPL32
P14927	UQCRB
E9PB15	PTGES3L
A0A1B0GWK0	PVALEF
Q6DKI7	PVRIG
Q13610	PWP1
Q8N2H3	PYROXD2
P40967	PMEL
Q969W9	PMEPA1
O43157	PLXNB1
Q01453	PMP22
P54278	PMS2
Q9Y4D7	PLXND1
O15492	RGS16
O75916	RGS9
A5PLK6	RGSL1
Q03052	POU3F1
Q8WVV4	POF1B
Q7Z3K3	POGZ
P10266	ERVK-10
